name,norad,epoch_utc,eci_x_km,eci_y_km,eci_z_km,eci_vx_kms,eci_vy_kms,eci_vz_kms,ecef_X_m,ecef_Y_m,ecef_Z_m,lat_deg,lon_deg,alt_km
,45223,2025-11-09T00:38:25Z,6804.793376266949,43.08042341319781,1280.929960632744,1.089867620923713,4.649985312474224,-5.899934629340737,3668568.5936075747,-5727520.728197788,1298062.683211124,10.870089960467414,-57.35978859389864,547.0568026397522
,45225,2025-11-09T00:38:25Z,-4255.8251718741985,-3662.714430517914,4045.4995273514264,5.933328766143631,-2.3172188407540113,4.130516691301567,-5374974.972614456,1650724.5747700813,4034643.6697040447,35.829589721397674,162.927598312843,549.6729786910925
,45227,2025-11-09T00:38:25Z,-273.73771294059173,5879.07856600375,-3477.1250726630747,-5.436508842832582,2.535246889492783,4.7239208662633025,4829179.66690898,3363661.9694485287,-3477600.244279379,-30.736587592391572,34.85831648875587,463.27041657522994
,45228,2025-11-09T00:38:25Z,4266.539232069595,3666.1410606552995,-4047.8964244576164,-5.914288223825239,2.323033757297014,-4.134965020253615,5383596.915659301,-1657958.120644063,-4037013.4613108155,-35.79523368987413,-17.116988047250295,559.4668856896384
,45229,2025-11-09T00:38:25Z,-2168.177956195442,-4163.148588665579,5082.1760147842015,7.1632530829288825,-0.818341101940885,2.3794343278194017,-4684653.041232363,-379368.3358568744,5076556.54636599,47.38231655599916,-175.3702279485075,551.5894124390511
,45230,2025-11-09T00:38:25Z,201.583851783372,-4166.933930201234,5517.491144189772,7.543767692479423,0.7949195488620617,0.3239763177373055,-3422948.004546786,-2384027.0982338665,5517837.505372443,53.08182517137159,-145.14342190880518,552.6232001602701
,45235,2025-11-09T00:38:25Z,-4248.866303184064,-5430.069718537267,647.2623922088712,3.9692377438379003,-2.3781391720186704,6.016800483725132,-6860835.427096162,693860.3772604007,636373.4600993962,5.305060506100398,174.22511171508532,547.178045750818
,45237,2025-11-09T00:38:25Z,-6812.833025684572,15.240854353897335,-1256.563349813452,-1.0931083967793034,-4.635004507640469,5.906426126026942,-3623586.5323158703,5765514.328596418,-1273714.3752281433,-10.658668536070925,122.14908211396683,550.3507935985976
,45360,2025-11-09T00:38:25Z,-4903.1091078058325,-96.9745701562192,-4775.3025723744,3.002581813033241,-6.356456188756064,-2.953622404274826,-2693793.1788201607,4083553.265214972,-4787637.678450326,-44.56109840711051,123.4115956061248,477.30376841476914
,45361,2025-11-09T00:38:25Z,-4437.976437333012,4905.046452811465,1703.979500939208,-4.531247926758428,-2.0734580669278047,-5.793205737136953,1774753.5055826914,6375168.591878141,1692968.5860686116,14.436601429918092,74.44357667826473,453.89727347130724
,45362,2025-11-09T00:38:25Z,-5346.952924145943,1925.4448469192628,-3617.7916803456415,0.8583723194361308,-6.147529252796695,-4.537465925459078,-1222510.9221613826,5541270.478129298,-3631178.075590201,-32.78100530973274,102.44125641821277,364.9847328267946
,45366,2025-11-09T00:38:25Z,-1106.5105393811073,4311.6735500054565,5295.201710120894,-7.3892843860533635,0.23212799634500705,-1.728867829787474,3047214.4356611655,3249227.6252247402,5292548.113925998,50.08826930426467,46.8376305296996,552.0667537479322
,45367,2025-11-09T00:38:25Z,6384.184432021899,-2352.958520279636,-1303.5570283077825,2.65945583755224,3.9701459498158367,5.8931797791704605,1421726.606424469,-6656904.550624562,-1287558.3154904863,-10.775889436935602,-77.94436107438086,550.3383742685352
,45368,2025-11-09T00:38:25Z,-5191.094881157621,3431.3392044521293,3031.5721344557946,-4.8686984194261305,-2.869631788523904,-5.069335368731192,124772.92798891714,6227713.65116252,3018609.6946184933,25.994553469943575,88.85222631331621,547.7935944879641
,45369,2025-11-09T00:38:25Z,-6841.196821494157,897.6623363783337,-611.3791279478955,-0.0735737942655777,-4.609747865315251,-6.0272068071282705,-2893559.065438504,6262090.182907548,-628573.0526497293,-5.238529987042601,114.80050652630415,548.912306727514
,45370,2025-11-09T00:38:25Z,-6445.849868162885,-549.2775015222818,-2481.7210053545086,2.480500303165396,-4.691561584352108,-5.419128066544882,-3903209.614482956,5151190.479912986,-2497963.65751704,-21.25107879490415,127.15228743730988,553.551533621987
,45374,2025-11-09T00:38:25Z,1258.719841064684,3980.9982784841004,5515.054599539088,-7.3597261074599345,1.8302369760498456,0.357691143882002,4030420.030041506,1073378.50114412,5518344.785427569,53.0873016344293,14.912832407218087,552.7601371096997
,45375,2025-11-09T00:38:25Z,6829.658000817699,-968.9267105221558,615.5871106276825,0.10318820920096365,4.612807878034213,6.026445959337264,2827139.422859033,-6290382.434197194,632749.5012922949,5.274516028096313,-65.79901893518405,547.5026158003095
,45376,2025-11-09T00:38:25Z,-1256.4060276708285,-3990.2619146946067,-5526.214886208363,7.345830910479884,-1.8240327112796784,-0.3532958430732054,-4037001.195401129,-1080305.3048504284,-5529499.530711322,-53.08884553124797,-165.01861852090087,566.5708600116556
,45377,2025-11-09T00:38:25Z,876.042408679607,-4341.810194452838,-5228.185954823652,7.375345437882754,-0.6740984163928359,1.7986500081862398,-3195861.0565418242,-3070326.595021105,-5226113.956045723,-49.878278449784666,-136.14768870962286,486.5301926756395
,45379,2025-11-09T00:38:25Z,4299.0652508764615,-3870.23742185845,-3647.302735623244,5.756512105667129,2.1209553561787375,4.541246130306996,-971365.0854827325,-5709213.120494038,-3636599.7967182253,-32.28832672728131,-99.65583699638715,466.31650292491423
,45383,2025-11-09T00:38:25Z,-4530.123651865989,4760.939909085624,2177.268885646721,-4.765883584066599,-1.9749669989274963,-5.569287516586505,1603056.88602156,6377118.688006831,2166019.4812894124,18.337793752630468,75.8895597593024,547.047545175038
,45384,2025-11-09T00:38:25Z,-5089.823148212225,-971.4880779585461,-4602.376442143424,4.073184834156222,-5.4381955780523725,-3.3598269582226132,-3533114.9186575417,3774768.3569262875,-4615212.497129344,-41.92921563685846,133.1060618616021,561.8795603479608
,45386,2025-11-09T00:38:25Z,4976.38028652744,-4570.009239376045,-1061.1453400579687,3.834354840260388,2.7977225280801505,5.983465033326051,-1204853.677879408,-6650097.0806307215,-1048769.0686674016,-8.875388328568587,-100.26935643591646,461.62100628338345
,45387,2025-11-09T00:38:25Z,5454.532799843963,-1928.9916502453618,3666.5305861989455,-0.885538904414928,6.089976920404225,4.512772936115158,1276895.1964950445,-5634016.9479871895,3680187.6011244454,32.661686806779365,-77.23019523552405,477.6103296032355
,45388,2025-11-09T00:38:25Z,-1082.7676463119951,4356.17583610484,5128.797362572323,-7.348215976090011,0.5860216256413348,-2.0398731982971396,3097747.6302179727,3252567.843099925,5126205.61513183,48.952602123405846,46.39659013030207,449.6442241193314
,45389,2025-11-09T00:38:25Z,5615.518712986351,-570.6902674899387,3866.6013200314815,-2.3754157853379483,5.846073950979633,4.302357346286123,2510993.168316277,-5044338.597680214,3880710.077633066,34.72315431528759,-63.536593456480844,470.5732089010678
,45390,2025-11-09T00:38:25Z,-2769.5540294714915,5090.734099856717,3782.483615536197,-6.176593116243879,-0.06972933992248326,-4.414463470715985,2819864.296037664,5068120.25150694,3775673.9445185964,33.22643082466529,60.90876357920333,548.739127523828
,45394,2025-11-09T00:38:25Z,2006.8437907463635,-5880.696687387191,2328.6273225886,4.051659992645043,3.5931027693773325,5.5524289842834325,-3903453.9966264665,-4832234.482051183,2333470.1507415436,20.71051444042479,-128.93109811965033,260.219402857658
,45395,2025-11-09T00:38:25Z,651.5051670004773,-4808.090419168294,-4949.175900524401,6.8315692706785995,-1.8568394911993642,2.705427173299683,-3710377.998460845,-3128903.2983418936,-4947686.303267409,-45.72701977915074,-139.85959233098885,563.6245293689467
,45397,2025-11-09T00:38:25Z,4501.335056412274,-4778.348380973236,-2216.366306084652,4.789173077167949,1.9445781250800438,5.551631896387506,-1633095.232537775,-6362157.915330456,-2205189.8753619385,-18.665356102626706,-104.3963730832031,552.7402564245413
,45398,2025-11-09T00:38:25Z,-3892.420422960385,-1311.2125015606305,-5169.015257150565,1.0100697616045042,-7.607743112863343,1.1696949246273207,-3180124.461853684,2579786.9345146036,-5178846.12823728,-51.84681212017392,140.9502753147406,237.2373637863608
